created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2020-09-19 21:53:51 UTC,1,18.8,,,,,,,,,,,
2020-09-19 22:32:23 UTC,2,21.4,,,,,,,,,,,
2020-09-19 22:32:53 UTC,3,23.3,,,,,,,,,,,
2020-09-19 22:33:24 UTC,4,21.8,,,,,,,,,,,
2020-09-19 22:33:55 UTC,5,20.2,,,,,,,,,,,
2020-09-19 22:34:26 UTC,6,21.3,,,,,,,,,,,
2020-09-19 22:35:02 UTC,7,22.7,,,,,,,,,,,
2020-09-19 22:35:32 UTC,8,21.8,,,,,,,,,,,
2020-09-19 22:55:50 UTC,9,74.3,82.0,,,,,,,,,,
2020-09-19 22:56:21 UTC,10,75.2,82.8,,,,,,,,,,
2020-09-19 22:57:01 UTC,11,71.8,79.8,,,,,,,,,,
2020-09-19 22:57:42 UTC,12,69.3,76.6,,,,,,,,,,
2020-09-19 22:58:23 UTC,13,67.5,74.6,,,,,,,,,,
2020-09-19 22:59:04 UTC,14,69.8,77.2,,,,,,,,,,
2020-09-19 23:02:41 UTC,15,51.5,57.3,,,,,,,,,,
2020-09-19 23:04:07 UTC,16,51.0,56.7,,,,,,,,,,
2020-09-19 23:04:38 UTC,17,25.6,32.3,,,,,,,,,,
2020-09-19 23:05:09 UTC,18,50.9,56.4,,,,,,,,,,
2020-09-19 23:05:39 UTC,19,51.1,57.1,,,,,,,,,,
2020-09-19 23:06:10 UTC,20,47.2,54.7,,,,,,,,,,
2020-09-19 23:08:27 UTC,21,49.2,54.7,,,,,,,,,,
2020-09-19 23:12:44 UTC,22,47.1,52.6,,,,,,,,,,
2020-09-19 23:24:03 UTC,23,38.2,42.5,,,,,,,,,,
2020-09-19 23:24:33 UTC,24,37.9,42.4,,,,,,,,,,
2020-09-19 23:25:04 UTC,25,37.3,41.8,,,,,,,,,,
2020-09-19 23:25:35 UTC,26,37.1,41.5,,,,,,,,,,
2020-09-19 23:26:06 UTC,27,36.7,41.0,,,,,,,,,,
2020-09-19 23:26:36 UTC,28,32.1,35.9,,,,,,,,,,
2020-09-19 23:27:07 UTC,29,14.0,21.8,,,,,,,,,,
2020-09-19 23:27:38 UTC,30,35.5,39.6,,,,,,,,,,
2020-09-19 23:28:08 UTC,31,35.0,39.2,,,,,,,,,,
2020-09-19 23:28:54 UTC,32,34.8,38.8,,,,,,,,,,
2020-09-19 23:29:40 UTC,33,34.4,38.5,,,,,,,,,,
2020-09-19 23:30:25 UTC,34,35.4,39.4,,,,,,,,,,
2020-09-19 23:30:56 UTC,35,32.8,42.2,,,,,,,,,,
2020-09-19 23:31:27 UTC,36,35.5,42.4,,,,,,,,,,
2020-09-19 23:31:57 UTC,37,36.3,40.7,,,,,,,,,,
2020-09-19 23:32:28 UTC,38,37.2,41.6,,,,,,,,,,
2020-09-19 23:32:59 UTC,39,37.4,41.6,,,,,,,,,,
2020-09-19 23:33:29 UTC,40,34.7,39.3,,,,,,,,,,
2020-09-19 23:34:00 UTC,41,36.1,41.4,,,,,,,,,,
2020-09-19 23:34:31 UTC,42,36.9,41.8,,,,,,,,,,
2020-09-19 23:35:01 UTC,43,36.0,45.5,,,,,,,,,,
2020-09-19 23:35:32 UTC,44,36.7,45.7,,,,,,,,,,
2020-09-19 23:36:03 UTC,45,37.3,45.7,,,,,,,,,,
2020-09-19 23:36:33 UTC,46,36.4,45.0,,,,,,,,,,
2020-09-19 23:37:04 UTC,47,32.1,35.6,,,,,,,,,,
2020-09-19 23:37:35 UTC,48,36.5,44.6,,,,,,,,,,
2020-09-19 23:38:05 UTC,49,35.2,41.8,,,,,,,,,,
2020-09-19 23:38:36 UTC,50,31.7,38.0,,,,,,,,,,
2020-09-19 23:39:07 UTC,51,36.9,41.3,,,,,,,,,,
2020-09-19 23:39:37 UTC,52,34.6,39.2,,,,,,,,,,
2020-09-19 23:40:08 UTC,53,18.8,21.0,,,,,,,,,,
2020-09-19 23:40:44 UTC,54,35.0,40.7,,,,,,,,,,
2020-09-19 23:49:20 UTC,55,33.1,42.2,,,,,,,,,,
2020-09-19 23:49:51 UTC,56,33.7,40.6,,,,,,,,,,
2020-09-19 23:50:37 UTC,57,33.5,39.7,,,,,,,,,,
2020-09-19 23:51:07 UTC,58,31.2,39.3,,,,,,,,,,
2020-09-19 23:51:38 UTC,59,34.2,41.7,,,,,,,,,,
2020-09-19 23:52:09 UTC,60,34.9,42.7,,,,,,,,,,
2020-09-19 23:52:39 UTC,61,31.7,39.8,,,,,,,,,,
2020-09-19 23:53:25 UTC,62,31.0,38.4,,,,,,,,,,
2020-09-19 23:53:56 UTC,63,27.1,32.3,,,,,,,,,,
2020-09-19 23:54:26 UTC,64,30.5,39.4,,,,,,,,,,
2020-09-19 23:54:57 UTC,65,27.6,30.9,,,,,,,,,,
2020-09-19 23:55:28 UTC,66,20.4,23.4,,,,,,,,,,
2020-09-19 23:55:58 UTC,67,27.7,35.5,,,,,,,,,,
2020-09-19 23:56:29 UTC,68,28.6,37.7,,,,,,,,,,
2020-09-19 23:57:00 UTC,69,25.1,28.1,,,,,,,,,,
2020-09-19 23:57:30 UTC,70,28.9,37.5,,,,,,,,,,
2020-09-19 23:58:01 UTC,71,27.0,30.2,,,,,,,,,,
2020-09-19 23:58:32 UTC,72,20.1,22.5,,,,,,,,,,
2020-09-19 23:59:02 UTC,73,28.7,34.9,,,,,,,,,,
2020-09-19 23:59:33 UTC,74,26.5,36.1,,,,,,,,,,
2020-09-20 00:00:04 UTC,75,13.0,15.5,,,,,,,,,,
2020-09-20 00:00:35 UTC,76,26.9,31.8,,,,,,,,,,
2020-09-20 00:01:05 UTC,77,26.1,35.1,,,,,,,,,,
2020-09-20 00:01:51 UTC,78,29.2,34.6,,,,,,,,,,
2020-09-20 00:02:22 UTC,79,29.9,38.8,,,,,,,,,,
2020-09-20 00:03:08 UTC,80,28.8,36.8,,,,,,,,,,
2020-09-20 00:03:38 UTC,81,25.5,31.7,,,,,,,,,,
2020-09-20 00:04:14 UTC,82,4369.1,838.4,,,,,,,,,,
2020-09-20 00:04:45 UTC,83,29.1,35.5,,,,,,,,,,
2020-09-20 00:05:16 UTC,84,30.1,45.6,,,,,,,,,,
2020-09-20 00:05:47 UTC,85,2227.3,1714.0,,,,,,,,,,
2020-09-20 00:06:17 UTC,86,25.7,30.0,,,,,,,,,,
2020-09-20 00:06:48 UTC,87,30.3,41.2,,,,,,,,,,
2020-09-20 00:07:19 UTC,88,29.9,41.9,,,,,,,,,,
2020-09-20 00:07:50 UTC,89,21.3,29.6,,,,,,,,,,
2020-09-20 00:08:20 UTC,90,28.9,35.1,,,,,,,,,,
2020-09-20 00:08:51 UTC,91,30.7,35.8,,,,,,,,,,
2020-09-20 00:09:22 UTC,92,16.3,19.2,,,,,,,,,,
2020-09-20 00:09:52 UTC,93,31.1,41.9,,,,,,,,,,
2020-09-20 00:10:23 UTC,94,31.0,38.8,,,,,,,,,,
2020-09-20 00:10:55 UTC,95,16.8,22.0,,,,,,,,,,
2020-09-20 00:11:25 UTC,96,4369.1,1094.4,,,,,,,,,,
2020-09-20 00:11:56 UTC,97,29.7,33.4,,,,,,,,,,
2020-09-20 00:12:27 UTC,98,27.7,33.2,,,,,,,,,,
2020-09-20 00:12:58 UTC,99,29.9,42.2,,,,,,,,,,
2020-09-20 00:13:28 UTC,100,31.2,43.0,,,,,,,,,,
2020-09-20 00:13:59 UTC,101,28.9,38.0,,,,,,,,,,
2020-09-20 00:14:45 UTC,102,30.6,40.4,,,,,,,,,,
2020-09-20 00:15:31 UTC,103,32.5,65.2,,,,,,,,,,
