date and Time;CO;SO2;O3;NO2;pm2.5;pm10;Temperature;Pressure;Humidity;Pressure Altitude
2021-08-01 18:54:26;0.04;3.29;0.04;0.0;75.6;97.2;26.156308750022436;99909.22606181072;71.895645095153;388.69987343029806
2021-08-01 19:32:36;0.04;45.01;0.04;0.0;76.1;97.7;26.34718291470781;99962.63244798822;77.70217793607893;373.95648673021935
2021-08-01 19:42:40;14.39;0.0;1.82;1.47;78.1;98.5;26.34718291470781;99962.63244798822;77.70217793607893;373.95648673021935
2021-08-01 19:44:45;0.0;45.65;56.48;0.0;18.7;23.7;25.41860964298248;100146.70165839634;76.24888191177821;323.19109647988483
2021-08-01 23:46:02;0.0;45.97;5.68;0.0;19.2;25.1;25.41860964298248;100146.70165839634;76.24888191177821;323.19109647988483
2021-08-01 23:48:40;0.0;10.09;0.04;0.0;15.9;20.0;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 00:08:40;10.93;5.96;1.17;1.28;16.3;20.5;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 00:18:45;9.08;4.55;0.77;0.08;16.2;20.7;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 00:28:49;8.03;3.97;0.71;0.58;15.9;20.0;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 00:38:54;0.0;3.43;0.7;0.49;16.2;20.1;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 00:48:58;7.04;3.47;0.73;0.64;16.3;19.9;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 00:59:07;7.55;3.33;0.64;0.6;16.4;19.2;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 01:09:12;6.55;3.1;0.05;0.08;16.3;19.7;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 01:19:16;0.08;2.96;0.58;0.7;16.3;19.3;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 01:29:20;6.18;2.9;0.66;0.64;16.5;19.8;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 01:39:24;7.97;3.11;0.62;0.03;16.0;19.9;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 01:49:29;0.03;3.96;0.59;44.54;16.1;19.4;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 01:59:34;0.07;4.44;0.57;0.67;16.4;19.4;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 02:09:38;15.44;4.53;0.54;0.72;16.5;20.2;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 02:19:42;0.0;4.11;0.48;0.77;16.1;19.6;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 02:29:46;12.99;3.52;0.49;0.74;15.7;19.0;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 02:39:50;0.03;3.23;0.46;0.68;15.7;18.9;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 02:49:55;11.81;3.04;0.51;0.05;15.7;18.9;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 02:59:59;11.06;2.94;0.56;0.65;16.0;19.4;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 03:10:04;14.15;2.64;0.57;0.64;16.2;18.1;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 03:20:08;10.96;2.71;0.6;0.58;16.2;18.0;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 03:30:12;9.49;2.57;0.58;0.03;16.2;18.1;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 03:40:17;9.55;2.58;0.62;0.04;16.2;18.1;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 03:50:22;0.07;2.4;0.61;0.58;16.1;18.0;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 04:00:26;8.67;2.33;0.59;0.48;15.6;18.6;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 04:10:30;6.85;2.27;0.68;32.44;16.0;18.7;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 04:20:33;6.55;2.23;0.03;0.59;16.4;19.7;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 04:30:39;0.03;2.26;0.01;0.61;16.7;19.0;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 04:40:43;0.03;2.61;0.59;0.49;16.2;18.3;24.99559605664108;100095.14789651954;68.75507970058551;337.40175043119524
2021-08-02 04:50:46;0.0;2.93;0.56;0.0;485.7;615.5;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 05:01:05;12.92;3.06;0.56;0.44;504.3;625.1;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 05:11:09;0.03;3.72;0.01;0.52;403.0;619.2;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 05:21:15;16.57;4.02;0.53;0.03;591.1;933.5;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 05:31:25;0.03;3.98;0.58;29.47;676.3;979.4;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 05:41:33;18.7;4.11;0.59;0.64;733.2;1132.7;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 05:51:43;0.03;4.28;0.59;0.58;776.4;1258.9;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 06:01:54;41.66;4.36;0.61;0.59;782.4;1283.9;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 06:12:03;22.04;4.67;0.63;0.62;809.9;1460.2;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 06:22:13;0.03;29.29;0.67;0.64;850.3;1531.1;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 06:32:24;21.56;4.6;32.4;0.6;589.2;809.9;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 06:42:33;0.03;3.06;0.69;0.59;302.6;453.6;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 06:52:43;0.0;2.39;0.65;0.6;114.8;189.7;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 07:02:52;7.88;2.01;0.64;0.58;105.2;173.8;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 07:13:02;8.18;2.1;0.72;0.71;64.2;100.6;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 07:23:12;7.51;1.89;0.72;0.8;56.3;85.6;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 07:33:22;7.33;2.06;0.68;0.78;44.9;70.7;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 07:43:32;7.03;1.78;0.65;0.82;40.1;75.7;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 07:53:42;6.89;1.73;0.03;0.88;42.1;73.1;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 08:03:53;0.0;1.54;46.87;0.86;45.5;83.4;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 08:14:02;7.11;1.68;0.62;0.8;49.3;87.0;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 08:24:12;7.64;1.58;0.0;0.8;45.8;81.6;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 08:34:22;7.36;29.33;0.56;0.77;46.0;81.7;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 08:44:31;7.13;1.61;0.57;0.8;43.3;69.3;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 08:54:41;6.93;1.51;0.56;0.74;47.4;82.4;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 09:04:50;0.03;1.62;0.57;0.65;45.1;88.2;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 09:15:02;7.75;1.48;0.02;0.68;45.8;87.5;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 09:25:11;6.91;29.3;0.66;0.68;43.0;87.8;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 09:35:20;7.71;1.49;0.08;0.62;42.1;63.9;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 09:45:30;0.04;1.35;0.62;0.58;43.5;74.7;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 09:55:39;7.36;1.38;0.6;0.56;40.4;70.6;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 10:05:49;6.62;1.42;0.63;0.55;38.3;65.2;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 10:15:59;6.54;1.45;0.68;0.6;41.9;74.2;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 10:26:10;6.79;1.6;0.68;32.42;38.4;67.7;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 10:36:19;6.13;1.43;0.69;0.63;36.3;57.3;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 10:46:29;6.81;1.36;0.7;0.57;35.5;74.2;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 10:56:39;7.11;1.4;0.71;0.04;36.0;60.8;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 11:06:48;0.0;1.62;0.7;0.53;35.5;48.1;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 11:16:57;6.89;1.53;0.72;0.58;37.8;55.7;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 11:27:17;8.49;1.73;28.94;0.66;37.6;57.6;27.998003125283866;100011.59541054208;81.00240800594406;360.44535624698534
2021-08-02 22:43:00;0.04;1.51;0.0;0.0;38.2;42.9;0;0;0;0
2021-08-02 22:53:18;6.58;1.4;0.71;0.52;39.7;44.4;0;0;0;0
2021-08-02 23:03:22;7.53;0.03;0.57;0.52;40.2;45.0;0;0;0;0
2021-08-02 23:13:27;7.29;1.09;0.58;0.03;40.6;45.6;0;0;0;0
2021-08-02 23:23:31;7.72;0.03;0.62;0.0;40.0;45.5;0;0;0;0
2021-08-02 23:33:36;8.06;35.77;0.63;0.64;39.3;44.4;0;0;0;0
2021-08-02 23:43:42;0.0;0.0;0.66;0.6;39.0;43.8;0;0;0;0
2021-08-02 23:53:46;7.84;1.05;0.67;0.79;38.6;43.6;0;0;0;0
2021-08-03 00:03:50;8.09;1.11;0.68;0.72;38.4;43.2;0;0;0;0
2021-08-03 00:13:54;7.55;42.96;0.64;0.65;39.2;44.0;0;0;0;0
2021-08-03 00:23:59;7.47;0.0;0.66;0.56;38.9;43.5;0;0;0;0
2021-08-03 00:34:04;7.26;0.76;0.6;0.45;39.2;44.0;0;0;0;0
2021-08-03 00:44:08;6.99;-0.15;0.58;0.24;39.5;44.8;0;0;0;0
2021-08-03 00:54:13;5.61;37.69;39.63;0.48;39.1;43.7;0;0;0;0
2021-08-03 01:04:19;0.07;0.84;0.63;0.0;39.0;43.7;0;0;0;0
2021-08-03 01:14:24;6.5;0.76;0.03;0.54;38.7;43.3;0;0;0;0
2021-08-03 01:27:17;13.83;35.39;0.61;0.6;38.3;43.0;0;0;0;0
2021-08-03 01:37:21;6.93;0.56;0.61;0.64;38.0;42.6;0;0;0;0
2021-08-03 01:47:26;6.91;35.48;0.03;0.72;38.5;43.0;0;0;0;0
2021-08-03 01:57:31;7.03;0.73;0.06;0.01;38.4;43.1;0;0;0;0
2021-08-03 02:07:37;6.93;0.55;0.65;0.69;37.9;42.5;0;0;0;0
2021-08-03 02:17:41;7.0;0.59;0.65;0.76;37.2;43.0;0;0;0;0
2021-08-03 02:27:45;0.07;0.53;0.63;0.78;37.1;42.7;0;0;0;0
2021-08-03 02:37:49;7.4;0.67;0.0;0.0;37.4;42.7;0;0;0;0
2021-08-03 02:47:53;6.66;0.57;0.7;0.78;37.9;44.3;0;0;0;0
2021-08-03 02:57:57;7.54;0.03;0.68;0.73;38.2;45.4;0;0;0;0
2021-08-03 03:08:02;7.07;0.02;0.66;0.81;38.4;43.6;0;0;0;0
2021-08-03 03:18:06;6.2;0.94;0.39;0.65;38.3;42.9;0;0;0;0
2021-08-03 03:28:10;4.98;1.17;0.79;0.0;38.5;43.0;0;0;0;0
2021-08-03 03:38:14;5.76;0.61;0.65;0.58;38.4;43.0;0;0;0;0
2021-08-03 03:48:19;6.37;0.57;0.63;0.62;38.3;42.9;0;0;0;0
2021-08-03 03:58:25;13.82;0.68;0.63;0.0;37.7;42.3;0;0;0;0
2021-08-03 04:08:28;6.47;0.66;0.67;0.74;37.1;41.6;0;0;0;0
2021-08-03 04:18:33;0.06;0.62;0.62;0.79;37.5;42.0;0;0;0;0
2021-08-03 04:28:38;6.47;0.56;0.67;0.06;37.3;41.8;0;0;0;0
2021-08-03 04:38:43;6.64;0.61;0.66;0.89;37.9;42.6;0;0;0;0
2021-08-03 04:48:46;6.7;0.68;0.63;0.83;38.2;43.0;0;0;0;0
2021-08-03 04:58:52;38.61;0.55;0.01;0.8;38.2;42.9;0;0;0;0
2021-08-03 05:08:56;6.46;0.59;0.67;0.86;38.2;42.7;0;0;0;0
2021-08-03 05:18:59;6.16;0.48;0.63;0.03;38.4;43.0;0;0;0;0
2021-08-03 05:29:04;6.69;0.04;0.64;0.05;38.0;42.5;0;0;0;0
2021-08-03 05:39:08;6.15;0.44;0.62;0.78;37.4;41.9;0;0;0;0
2021-08-03 05:49:12;6.67;0.47;0.67;0.79;36.9;41.3;0;0;0;0
2021-08-03 05:59:16;7.1;0.49;0.66;0.78;36.6;40.8;0;0;0;0
2021-08-03 06:09:20;7.15;0.53;0.66;0.0;37.0;41.4;0;0;0;0
2021-08-03 06:19:24;6.63;0.38;0.62;0.86;37.4;42.0;0;0;0;0
2021-08-03 06:29:30;6.51;0.31;0.7;0.83;38.5;43.2;0;0;0;0
2021-08-03 06:39:34;6.66;0.43;0.66;0.77;39.0;44.2;0;0;0;0
2021-08-03 06:49:38;6.57;0.29;0.61;0.8;38.9;43.6;0;0;0;0
2021-08-03 06:59:42;7.21;0.39;0.69;0.72;38.1;42.7;0;0;0;0
2021-08-03 07:09:47;7.62;0.25;0.62;0.78;37.5;41.9;0;0;0;0
2021-08-03 07:19:51;7.11;0.43;0.7;0.77;37.6;42.1;0;0;0;0
2021-08-03 07:29:55;0.07;0.28;0.66;39.69;37.8;42.4;0;0;0;0
2021-08-03 07:39:59;7.38;0.32;0.63;0.7;37.7;42.3;0;0;0;0
2021-08-03 07:50:03;6.33;0.39;0.64;0.77;36.8;41.3;0;0;0;0
2021-08-03 08:00:07;7.08;0.03;0.66;0.69;37.0;41.5;0;0;0;0
2021-08-03 08:10:12;7.21;0.02;0.68;0.05;37.5;42.0;0;0;0;0
2021-08-03 08:20:16;6.46;0.27;0.68;0.67;29.1;44.7;0;0;0;0
2021-08-03 08:30:19;6.66;0.36;0.68;0.71;18.6;21.8;0;0;0;0
2021-08-03 08:40:31;7.06;0.26;0.67;0.8;39.7;57.3;0;0;0;0
2021-08-03 08:50:35;7.43;0.25;0.65;0.72;32.3;36.8;0;0;0;0
2021-08-03 09:00:39;0.02;0.03;0.62;0.72;24.8;35.1;0;0;0;0
2021-08-03 09:10:43;7.25;0.22;0.65;0.59;29.9;38.3;0;0;0;0
2021-08-03 09:20:47;28.46;0.18;0.41;0.55;32.3;39.2;0;0;0;0
2021-08-03 09:30:51;5.47;0.26;0.9;0.7;32.8;40.7;0;0;0;0
2021-08-03 09:40:56;44.59;0.19;0.68;0.63;33.5;39.8;0;0;0;0
2021-08-03 09:51:01;5.68;0.24;0.08;0.03;33.2;39.3;0;0;0;0
2021-08-03 10:01:07;5.2;0.34;0.68;0.03;33.4;38.4;0;0;0;0
2021-08-03 10:11:11;6.03;0.22;0.7;0.32;33.3;39.5;0;0;0;0
2021-08-03 10:21:15;0.0;0.34;0.72;0.21;33.7;42.5;0;0;0;0
2021-08-03 10:31:19;5.96;0.21;0.7;0.18;33.2;43.2;0;0;0;0
2021-08-03 10:41:24;0.08;0.36;0.68;0.27;33.2;41.6;0;0;0;0
2021-08-03 10:51:28;6.11;0.29;0.65;0.43;32.6;38.7;0;0;0;0
2021-08-03 11:01:31;5.57;0.03;0.62;0.48;32.5;36.5;0;0;0;0
2021-08-03 11:11:37;6.3;0.03;0.57;29.62;32.8;37.6;0;0;0;0
2021-08-03 11:21:42;0.01;0.2;0.49;0.55;33.2;38.1;0;0;0;0
2021-08-03 11:31:46;6.12;0.13;0.65;0.6;33.1;37.2;0;0;0;0
2021-08-03 11:41:55;6.65;0.22;0.62;0.59;32.3;36.2;0;0;0;0
2021-08-03 11:52:00;5.99;0.1;43.26;29.66;24.2;27.1;0;0;0;0
2021-08-03 12:02:04;5.51;41.9;0.65;0.65;18.1;20.0;0;0;0;0
2021-08-03 12:12:14;8.48;29.8;0.55;0.59;12.7;16.9;0;0;0;0
2021-08-03 12:22:21;0.0;0.09;0.61;0.65;8.3;11.3;0;0;0;0
2021-08-03 12:32:31;6.01;29.87;0.71;0.69;9.4;10.5;0;0;0;0
2021-08-03 12:42:39;5.67;0.07;0.66;0.62;13.9;15.4;0;0;0;0
2021-08-03 12:52:43;6.43;0.0;0.69;0.62;15.7;17.6;0;0;0;0
